Subtropical/Tropical Dry Forest,Floresta Estacional Semidecidual de Terras Baixas/Submontana;Floresta Estacional Semidecidual Montana;Floresta Estacional Decidual de Terras Baixas/Submontana;Floresta Estacional Decidual Montana ;Floresta Estacional Sempre-verde de Terras Baixas/Submontana                                                                                                                                                           
Subtropical/Tropical Moist Lowland,Floresta Ombrófila Densa de Terras Baixas/Submontana ; Floresta Estacional Sempre-verde de Terras Baixas/Submontana  ;Floresta Ombrófila Aberta Submontana
Subtropical/Tropical Mangrove Vegetation Above High Tide Level,Área de Formações Pioneiras;Manguezal ; Campos Salinos
Forest - Subtropical/Tropical Swamp,Floresta Ombrófila Densa Aluvial ; Floresta Ombrófila Aberta Aluvial ;Floresta Ombrófila Mista Aluvial    ; Floresta Estacional Sempre-verde Aluvial   ; Floresta Estacional Semidecidual Aluvia ; Floresta Estacional Decidual Aluvial  ;  Campinarana Florestada
Forest - Subtropical/Tropical Moist Montane,Floresta Ombrófila Densa Montana/Altomontana ; Floresta Ombrófila Mista Montana/Altomontana       ; Floresta Estacional Semidecidual Montana  ; Floresta Estacional Decidual Montana
Dry Savanna,Savana Florestada;Savana Arborizada;Savana Parque ; Savana Gramíneo-Lenhosa
Moist Savana,Savana Parque ;  Savana-Estépica Úmida ; Savana
Shrubland - Subtropical/Tropical Dry,Vegetação de Restinga; Áreas de formação pioneira
Shrubland - Subtropical/Tropical Moist,Área Formações Pioneiras ; Campinara
Shrubland - Subtropical/Tropical High Altitude,"Refúgios Ecológicos
"
Grassland - Subtropical/Tropical Dry,Estepe Arborizada   ; Estepe Parque; Estepe Gramíneo-Lenhosa  ; Savana Gramíneo-Lenhosa 
Subtropical/Tropical Seasonally Wet/Flooded Lowland Grassland,Estepe
Subtropical/Tropical High Altitude Grassland,Áreas turfosas; Campos de Altitude;
"Rocky Areas [e.g. inland cliffs, mountain peaks]",Afloramentos rochosos; Refúgio Ecológico;
Arable Land,Agricultura de culturas cíclicas
Pastureland,Pecuária
Plantations,Agricultura de culturas permanentes; Reflorestamento ; Florestamento
Rural Gardens,Outros
Urban Areas,Outros
Subtropical/Tropical Heavily Degraded Former Forest,Sistema da Vegetação Secundária
Introduced Vegetation,Reflorestamento;Florestamento
